Issue Type,Issue key,Issue id,Summary,Reporter,Reporter Id,Priority,Status,Created,Updated,Description,Environment,Project key,Project name,Project type,Project lead,Project lead id,Project description,Creator,Creator Id
Bug,T12CA-189,30110,"Funnels API, Create a new Funnel - possible to create a new funnel with empty body",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,31/Aug/24 4:43 AM,17/Feb/25 8:22 AM,"POST Create a new Funnel - it is possible to create a new funnel with empty body.

*Steps:*

# Send POST request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/funnel}}

{{1 {}}}

*Expected result:*

(/) POST Create a new Funnel with empty body does not work. Error message is shown about body being empty.

*Actual result:*

(x) POST Create a new Funnel with empty body works. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-188,30109,"Funnels API, Create a new Funnel - possible to create a new funnel with empty fields",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,31/Aug/24 4:38 AM,17/Feb/25 8:22 AM,"POST Create a new Funnel - it is possible to create a new funnel with empty fields.

*Steps:*

# Send POST request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/funnel}}

{noformat}{
    ""members_list_user"": [
        """"
    ],
    ""name_text"": """",
    ""stage_list_custom_stage"": [
        """"
    ]
}{noformat}

*Expected result:*

(/) POST Create a new Funnel with empty fields does not work. Error message is shown about fields being empty.

*Actual result:*

(x) POST Create a new Funnel with empty fields works. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-187,30108,"Funnels API, Create a new Funnel - possible to create a new funnel without name_text",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,31/Aug/24 4:34 AM,17/Feb/25 8:22 AM,"POST Create a new Funnel - it is possible to create a new funnel without name_text.

*Steps:*

# Send POST request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/funnel}}

{noformat}{
    ""members_list_user"": [
        ""1625051658962x581289845978797800""
    ],
    ""stage_list_custom_stage"": [
        ""1625047831409x279441406166018660""
    ]
}{noformat}

*Expected result:*

(/) POST Create a new Funnel without name_text does not work. Error message is shown about missing name_text field.

*Actual result:*

(x) POST Create a new Funnel without name_text works. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-186,30107,"Leads API, Get the list of all Leads - Descending data type integer no error message shown",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,31/Aug/24 4:26 AM,17/Feb/25 8:03 AM,"GET list of all Leads descending data type integer should show an error of using a wrong data type, should be boolean. System ignores wrong data type, no error message shown and shows list in ascending order.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead?sort_field=company_text&descending=55}}

*Expected result:*

(/) GET list of all Leads descending data type integer should show 404 Not Found error message about wrong data type.

*Actual result:*

(x) GET list of all Leads descending data type integer works. System ignores wrong data type and shows list in ascending order. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-185,30106,"Leads API, Get the list of all Leads - Cursor data type boolean no error message shown",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,31/Aug/24 4:22 AM,17/Feb/25 6:53 AM,"GET list of all Leads cursor data type boolean should show an error of using a wrong data type, should be integer. System ignores wrong data type and shows cursor 0.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead?cursor=false}}

*Expected result:*

(/) GET list of all Leads cursor data type boolean should show 404 Not Found error message about wrong data type.

*Actual result:*

(x) GET list of all Leads cursor data type boolean works. System ignores wrong data type and shows cursor 0. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-184,30105,"Leads API, Get the list of all Leads - Cursor data type string no error message shown",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,31/Aug/24 4:18 AM,17/Feb/25 6:53 AM,"GET list of all Leads cursor data type string should show an error of using a wrong data type, should be integer. System ignores wrong data type and shows cursor 0.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead?cursor=asdghfjk53ndja6}}

*Expected result:*

(/) GET list of all Leads cursor data type string should show 404 Not Found error message about wrong data type.

*Actual result:*

(x) GET list of all Leads cursor data type string works. System ignores wrong data type and shows cursor 0. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-183,30104,"Stages API, Get Stages by Unique ID - Works with no authorization",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,31/Aug/24 4:13 AM,17/Feb/25 8:29 AM,"GET Stages by ID works with no authorization.

*Steps:*

# Send GET request with no authorization to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/stage/:UniqueID}}

*Expected result:*

(/) GET Stages by ID does not work with no authorization. 401 Unauthorized error message is shown - permission denied.

*Actual result:*

(x) GET Stages by ID works with no authorization. No error message shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-182,30103,"Stages API, Get list of all Stages - Works with no authorization",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,31/Aug/24 4:09 AM,17/Feb/25 8:29 AM,"GET list of all Stages works with no authorization.

*Steps:*

# Send GET request with no authorization to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/stage}}

*Expected result:*

(/) GET list of all Stages does not work with no authorization. 401 Unauthorized error message is shown - permission denied.

*Actual result:*

(x) GET list of all Stages works with no authorization. No error message shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-181,30102,"Leads API, Get the list of all Leads - Limit data type string no error message shown",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,31/Aug/24 4:03 AM,17/Feb/25 6:53 AM,"GET list of all Leads limit data type string should show an error of using a wrong data type, as it should be integer. System ignores wrong data type and shows all Leads max count 100.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead?limit=GreetingHumans}}

*Expected result:*

(/) GET list of all Leads limit data type string should show 404 Not Found error message about wrong data type.

*Actual result:*

(x) GET list of all Leads limit data type string works. System ignores wrong data type and shows all Leads max count 100. No errors shown.","Postman version: 11.10.1

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-21,29924,"Leads API, Get the list of all Leads - Default limit 50 not working",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,High,To Do,26/Aug/24 8:08 PM,17/Feb/25 6:53 AM,"The limit parameter’s *default* value 50 should work. At the moment it does not show 50 leads by default.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead}}

*Expected result:*

(/) 50 leads are displayed in a list(“count“: 50).

*Actual result:*

(x) All the leads are displayed in a list(“count“: 100).","Postman version: 11.9.2

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12CA-20,29923,"Leads API, Get the list of all Leads - Cursor negative value wrong error",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Medium,To Do,26/Aug/24 7:56 PM,17/Feb/25 6:53 AM,"When cursor parameter is set to negative value -10, then the error message should state that the cursor cannot be a negative value. 

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead?cursor=-10}}

*Expected result:*

(/) Cursor parameter with negative value -10 request shows an error stating that the cursor cannot be a negative value. 

*Actual result:*

(x) Cursor parameter with negative value -10 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1724691036596x443446359391324900""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request.  We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.9.2

OS: Windows 11 Home 23H2 22631.4037",T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
